token,texte 0,texte 1,texte 2
allons,1,0,1
intéresser,1,0,1
cours,1,0,1
linguistique,5,1,6
corpus,5,7,12
.,6,5,11
d’,1,3,4
aborder,1,0,1
discipline,1,0,1
approche,1,0,1
,,7,7,14
faut,1,2,3
évidemment,1,0,1
commencer,1,0,1
demander,1,0,1
qu’,1,1,2
trésor,1,0,1
langue,1,2,3
française,1,0,1
grand,1,0,1
dictionnaire,1,0,1
référence,1,0,1
français,1,2,3
définit,1,0,1
domaine,2,0,2
«,2,0,2
ensemble,1,1,2
textes,2,0,2
établi,1,0,1
selon,2,0,2
principe,1,0,1
documentation,1,0,1
exhaustive,1,0,1
critère,1,0,1
thématique,1,0,1
exemplaire,1,0,1
vue,1,0,1
étude,2,1,3
»,2,0,2
john,1,0,1
sinclair,1,0,1
(,1,0,1
1991,1,0,1
),1,0,1
linguiste,1,0,1
britannique,1,0,1
influent,1,0,1
l’,4,6,10
défini,1,0,1
quant,1,0,1
lui,1,0,1
collection,1,0,1
données,1,0,1
langagières,1,1,2
sélectionnées,1,0,1
organisées,1,0,1
critères,2,0,2
linguistiques,1,0,1
explicites,1,0,1
servir,1,0,1
d',1,0,1
échantillon,1,0,1
langage,1,0,1
linguistes,1,0,1
construisent,1,0,1
donc,2,0,2
sélectionnant,1,0,1
sous-ensemble,1,0,1
aide,1,1,2
spécifiques,1,0,1
effectuer,1,1,2
question,1,0,1
n’,1,1,2
dissociable,1,0,1
usage,1,0,1
fait,1,0,1
autre,0,1,1
point,0,1,1
important,0,1,1
mentionner,0,1,1
format,0,1,1
apparaît,0,1,1
généralement,0,1,1
forme,0,1,1
électronique,0,1,1
concrètement,0,1,1
fichier,0,1,1
fichiers,0,1,1
informatiques,0,1,1
manipulables,0,1,1
outils,0,1,1
traitement,0,1,1
cet,0,1,1
aspect,0,1,1
informatique,0,1,1
anecdotique,0,1,1
c’,0,1,1
biais,0,1,1
ordinateur,0,1,1
pourra,0,1,1
traitements,0,1,1
exemple,0,1,1
extraire,0,1,1
occurrences,0,2,2
contexte,0,1,1
expression,0,2,2
toutes,0,1,1
dirais-je,0,1,1
parlé,0,1,1
parisien,0,1,1
repérer,0,1,1
noms,0,1,1
fréquents,0,1,1
scientifique,0,1,1
scientext,0,1,1
peut,0,1,1
voir,0,1,1
copies,0,1,1
écran,0,1,1
ci-dessous,0,1,1
:,0,1,1
sont,0,1,1
complètement,0,1,1
nouveaux,0,1,1
existé,0,1,1
effet,0,1,1
étudier,0,1,1
variété,0,1,1
parle,0,1,1
s’,0,1,1
appuyer,0,1,1
productions,0,1,1
existantes,0,1,1
